features,d_corr,d_fisher,g_corr,g_fisher,collinear
mfcc1_sma3_stddevNorm,0.020303363856258045,0.0011631176703881879,0.021789112887536054,0.0010665051265383555,
mfcc2_sma3_amean,-0.033582596925367685,0.002654750977383559,0.12147941401779838,0.030487340944922378,
mfcc2_sma3_stddevNorm,0.010410184936459867,0.00028517538434588664,0.0017000837466468763,5.737808749405453e-06,
mfcc3_sma3_amean,-0.08483715500604996,0.01697824751359825,0.2634096504343275,0.15597089695811187,
mfcc3_sma3_stddevNorm,0.00204096106737003,1.4284003607394003e-05,-0.010293295407210835,0.00025488658870266996,
mfcc4_sma3_amean,-0.0713817720172829,0.012104404651969651,0.3810657557584527,0.34977154706935165,
mfcc4_sma3_stddevNorm,-0.0020618473881918098,1.1741794816755311e-05,-0.0016656012150078438,5.351580284079899e-06,
jitterLocal_sma3nz_amean,-0.011558881985674395,0.00032414657615463863,-0.029249069494254598,0.00172837287006614,
jitterLocal_sma3nz_stddevNorm,0.06798009893067768,0.011236008861778902,-0.3224365768522349,0.224660564689387,
shimmerLocaldB_sma3nz_amean,-0.029530801265891173,0.0022087764275145975,0.152318875394774,0.05087420620291697,
shimmerLocaldB_sma3nz_stddevNorm,0.06497907092816202,0.010569994059395895,-0.24012409558840322,0.12385599517849413,
HNRdBACF_sma3nz_amean,0.11520670012183168,0.03243785509448948,-0.6279624649371633,1.2798047895843414,
HNRdBACF_sma3nz_stddevNorm,-0.022541447896790762,0.000902766380475212,0.04632937007444802,0.005273003245076563,
logRelF0-H1-H2_sma3nz_amean,0.07787509758435379,0.014353103414845157,-0.02289970275149353,0.0010517000677348592,
logRelF0-H1-H2_sma3nz_stddevNorm,-0.003942866031440601,3.477250643964731e-05,0.004168643641931775,3.273955450755921e-05,
logRelF0-H1-A3_sma3nz_amean,-0.0030978523845313797,2.4030503571011244e-05,0.06108488987214372,0.00789205865910349,
logRelF0-H1-A3_sma3nz_stddevNorm,0.00021458194419812733,6.836078965098676e-08,-0.027773708001820576,0.001311376311162895,
F1frequency_sma3nz_amean,0.08008429490357315,0.01624335440058812,-0.22418494152260457,0.1098612632326485,
F1frequency_sma3nz_stddevNorm,-0.006571666618240751,0.00010840073685284228,0.28144850782040776,0.18917748478083082,
F1bandwidth_sma3nz_amean,0.03314682704467844,0.0028971565879149083,-0.11026304837506891,0.026066907123174672,
F1bandwidth_sma3nz_stddevNorm,0.03213722012560367,0.002628367689045431,0.0746230323750804,0.011941649685208992,
F1amplitudeLogRelF0_sma3nz_amean,0.02546292663794893,0.0016292451295824284,-0.07294776897285078,0.011268586794471258,
F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.009468280963561731,0.0002844009509609195,0.0371279883427789,0.0024164955672128586,
F2frequency_sma3nz_amean,0.05802206241249785,0.008834439049032963,-0.14236999574109938,0.043662760427515615,
F2frequency_sma3nz_stddevNorm,-0.0019228749120841194,9.323201456987135e-06,0.23092928982712202,0.12360526037195615,
F2bandwidth_sma3nz_amean,0.014772990884140311,0.0005657524573783538,-0.07979760212303288,0.013511438789920237,
F2bandwidth_sma3nz_stddevNorm,0.04163316219979254,0.004247505217471842,-0.14868470221009977,0.04658231471084677,
F2amplitudeLogRelF0_sma3nz_amean,0.037277245770353205,0.003480748359236731,-0.08563878267539099,0.01557565628800235,
F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.007245638961752907,0.00018178377376438306,-0.007528445520738708,9.44587194326355e-05,
F3frequency_sma3nz_amean,0.060799406735683334,0.009754061057535107,-0.10018101946397086,0.021453388976153485,
F3frequency_sma3nz_stddevNorm,-0.024114052288963655,0.0014707542145041524,0.21933003093967138,0.10945693967569338,
F3bandwidth_sma3nz_amean,0.002950123040733264,2.2742437476550577e-05,-0.022888193115525538,0.0011081576891489619,
F3bandwidth_sma3nz_stddevNorm,0.06563038796989278,0.010688739525252164,-0.23733418955960955,0.12149803565058014,
F3amplitudeLogRelF0_sma3nz_amean,0.03640081291845167,0.003326033443829015,-0.08661133652078172,0.0159390018288629,
F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.03652824612827713,0.0033397948717565104,0.08723731163845784,0.016005131326739624,
alphaRatioV_sma3nz_amean,0.005656297048107719,7.968286000662025e-05,-0.07809742649864794,0.01287407443285771,
alphaRatioV_sma3nz_stddevNorm,-0.008430422748818875,0.00022005734502126973,0.06702837768200932,0.010072865639682797,
hammarbergIndexV_sma3nz_amean,0.032223669397034506,0.002590810562483312,-0.0010711724228319082,2.397750498541061e-06,
hammarbergIndexV_sma3nz_stddevNorm,0.032064537110440744,0.0019106053010559893,-0.17101690949009313,0.06695932454054519,
slopeV0-500_sma3nz_amean,0.06638880781107229,0.010389660854507331,-0.56362408941914,0.9542595879845033,
slopeV0-500_sma3nz_stddevNorm,0.001181681987888484,4.245922192369954e-06,-0.009135685601701669,0.00020871006310561836,
slopeV500-1500_sma3nz_amean,0.00509769655153062,6.361097454683033e-05,0.05948878244607647,0.007419979705040717,
slopeV500-1500_sma3nz_stddevNorm,-0.00406650240493053,5.674315875571061e-05,0.01285517804653376,0.0003696650874974579,
spectralFluxV_sma3nz_amean,0.1349202154205796,0.03604274175315883,0.11744022869701683,0.030823178734427126,
spectralFluxV_sma3nz_stddevNorm,0.09081778305865797,0.019985194802606538,-0.2133314129560318,0.09790903273446146,
mfcc1V_sma3nz_amean,-0.030127137256494553,0.002344400500392266,0.12335600448195876,0.03280573605444278,
mfcc1V_sma3nz_stddevNorm,0.02772547859587468,0.0020908645914506523,-0.0635161247617993,0.006998265244322373,
mfcc2V_sma3nz_amean,-0.01341465100432434,0.00041966317603516656,0.15740581288691288,0.051859990846930576,
mfcc2V_sma3nz_stddevNorm,0.012536596828045811,0.00043614535345559816,0.008746994259913349,0.00014340975166336805,
mfcc3V_sma3nz_amean,-0.06579197847165168,0.010300614935620204,0.2739395970528765,0.1699133766100079,
mfcc3V_sma3nz_stddevNorm,-0.017122950992506616,0.0004892064238391638,0.003922571329838631,2.5653715568446022e-05,
mfcc4V_sma3nz_amean,-0.07718270956750285,0.014137923225167295,0.4016593006379128,0.3989996963493929,
mfcc4V_sma3nz_stddevNorm,0.01229753915925423,0.0002522086708943395,0.018071985624543038,0.0008076256429998792,
alphaRatioUV_sma3nz_amean,0.026973709745635423,0.0017971439784721381,0.05554118642617437,0.006595793953657769,
hammarbergIndexUV_sma3nz_amean,-0.017103842366620364,0.0007174392310473834,-0.06302831104991007,0.00850961009398693,
slopeUV0-500_sma3nz_amean,0.009204691037127214,0.00021497677585032284,-0.2648245984184074,0.15620414617804432,
slopeUV500-1500_sma3nz_amean,-0.025449859825044843,0.0015653056417879072,0.14866262289565405,0.04755155036578444,
spectralFluxUV_sma3nz_amean,0.06271616583196944,0.00831872972679406,0.11832533687208141,0.03171056578759282,
loudnessPeaksPerSec,-0.034334672433636214,0.0028889179263300838,0.09513882202325483,0.019373579167813175,
VoicedSegmentsPerSec,0.0053081798996742965,6.967441120116364e-05,-0.05102102175420372,0.005423409680933818,
MeanVoicedSegmentLengthSec,0.02579438197458953,0.0016423623935900072,-0.013828535348990917,0.0004046453002635591,
StddevVoicedSegmentLengthSec,0.024896306589098253,0.0015099621636450195,-0.04181962702488724,0.0036812164115521116,
MeanUnvoicedSegmentLength,-0.032684040841107695,0.002929540493740927,0.03698742648994095,0.0029683404082593264,
StddevUnvoicedSegmentLength,0.001201452311021186,3.868380187404891e-06,0.022434411450881736,0.0010703948371572768,
equivalentSoundLevel_dBp,0.09108667815375375,0.019841872731081945,0.08135217958283514,0.013830142151611283,
Participant_ID,-0.13864766716265425,0.054164081309353504,-0.13722150732166574,0.040057845950144506,
Depression,1.0,,-0.0989212135290251,,
Gender,-0.0989212135290251,,1.0,,
